seq_len,head_dim,dtype,causal,batch_size,heads,device,method,backend,status,error,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,memory_allocated_bytes
512,128,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.0503407996147871,0.050175998359918594,0.04915200173854828,0.05119999870657921,0.0004939074068621255,8422400
512,128,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.04515359997749328,0.04500799998641014,0.04403200000524521,0.04755200073122978,0.0007969527280826794,8422400
512,128,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.045057599991559984,0.04505600035190582,0.044415999203920364,0.0459199994802475,0.00032452395898888105,8422400
512,256,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.09321280010044575,0.0931680016219616,0.09283199906349182,0.09414400160312653,0.0003444868998026505,16811008
512,256,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.09343519955873489,0.09359999746084213,0.09270399808883667,0.0942080020904541,0.00041282156645039696,16811008
512,256,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.07769439965486527,0.07772799953818321,0.07680000364780426,0.07836800068616867,0.00039845707810016377,16811008
512,256,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.07778079994022846,0.0777439996600151,0.07715199887752533,0.07852800190448761,0.0003389995860469782,16811008
512,256,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.09344160072505474,0.09318400174379349,0.09286399930715561,0.0942080020904541,0.00040419857886182125,16811008
512,256,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.09328480064868927,0.09318400174379349,0.09305600076913834,0.09382399916648865,0.00020546613673736905,16811008
512,256,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.0773760013282299,0.07747200131416321,0.0767040029168129,0.07782399654388428,0.00038333144316769925,16811008
512,256,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.07734880112111568,0.07744000107049942,0.07680000364780426,0.07782399654388428,0.00040543654721424035,16811008
2048,32,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.16710560098290445,0.1669120043516159,0.16636799275875092,0.16790400445461273,0.00041618156437072675,8520704
2048,32,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.1684799998998642,0.16865599900484085,0.1669120043516159,0.16947199404239655,0.000575821610800908,8520704
2048,32,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.1168687991797924,0.11696000024676323,0.11110399663448334,0.12185599654912949,0.0024793151045707233,8520704
2048,32,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.11468960009515286,0.11366400122642517,0.10809600353240967,0.12086399644613266,0.003441695934521196,8520704
2048,32,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.16709120124578475,0.1669120043516159,0.16649599373340607,0.16777600347995758,0.00037895359851815975,8520704
2048,32,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.1674191989004612,0.16740799695253372,0.16655999422073364,0.16979199647903442,0.0006490765638090921,8520704
2048,32,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.1170048002153635,0.11673600226640701,0.1103999987244606,0.12275200337171555,0.0033986874000398425,8520704
2048,32,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.11594400107860565,0.11630399897694588,0.10956799983978271,0.1225920021533966,0.002994914793546132,8520704
2048,64,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.30926560014486315,0.3092480003833771,0.30819201469421387,0.3107840120792389,0.0006885201961406455,16909312
2048,64,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.30912320166826246,0.3089919984340668,0.30854400992393494,0.31011199951171875,0.0004251188847306148,16909312
2048,64,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.19779520109295845,0.19763199985027313,0.18089599907398224,0.21798400580883026,0.00988509470677739,16909312
2048,64,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.2001008003950119,0.1993440017104149,0.18534399569034576,0.21254399418830872,0.00637840538875296,16909312
2048,64,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.30958559811115266,0.3096639961004257,0.3081279993057251,0.3112320005893707,0.0007253846549857519,16909312
2048,64,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.30908320248126986,0.3091680109500885,0.30822399258613586,0.3102720081806183,0.0004801404151561213,16909312
2048,64,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.20040000155568122,0.20015999674797058,0.17897599935531616,0.21401600539684296,0.007764195206259264,16909312
2048,64,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.1979391999542713,0.19700800627470016,0.1847040057182312,0.20927999913692474,0.008137609525656625,16909312
2048,128,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.6151776015758514,0.6149919927120209,0.6142079830169678,0.6164479851722717,0.0007053820589896341,33686528
2048,128,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.6152032017707825,0.61531201004982,0.6144000291824341,0.6163520216941833,0.0005550728530501285,33686528
2048,128,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.32157600075006487,0.32097600400447845,0.3107199966907501,0.3333759903907776,0.005968696932984132,33686528
2048,128,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.31929759830236437,0.31756800413131714,0.3031040132045746,0.3364799916744232,0.008618521394694012,33686528
2048,128,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.6170560121536255,0.6142560243606567,0.6130880117416382,0.6347200274467468,0.007038189508727021,33686528
2048,128,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.6325488001108169,0.6320319771766663,0.6256639957427979,0.640608012676239,0.005036765627462205,33686528
